"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"*04qru*","Donte DiVincenzo","MIN","PG,SG,G,Flx","139","herb","IND Sun 6:00PM","72.87","100","127.8","90%","+89.5%","21","25.0","4.7","10.2",".463","0.4","0.6",".615","3.2","3.6","3.6","1.1","0.5","1.3","13.0"
"*05uij*","Davion Mitchell","MIA","PG,G,Flx","198","booty","NY Sun 5:00PM","72.87","99","161.5","86%","+85.5%","23","31.4","3.9","8.0",".492","1.3","1.8",".690","1.3","3.1","5.9","1.4","0.3","1.8","10.4"
"*0621g*","Tari Eason","HOU","SF,PF,F,Flx","105","Benny","","72.76","100","114.8","93%","+92.6%","19","25.8","5.3","10.7",".495","1.2","1.5",".786","1.3","6.6","2.0","1.3","0.8","1.4","13.1"
"*06cbz*","Brice Sensabaugh","UTA","SF,PF,F,Flx","201","Universa","","72.51","78","203.4","59%","+59%","24","25.0","4.9","10.3",".478","1.0","1.1",".852","3.3","3.8","2.2","0.8","0.2","2.0","14.0"
"*05uio*","Moses Moody","GS","SG,G,SF,F,Flx","145","FA","","72.39","16","279.3","27%","+27.2%","23","27.5","3.4","8.4",".409","1.7","1.9",".884","1.7","3.2","1.7","1.4","0.4","0.9","10.2"
"*0621u*","Andrew Nembhard","IND","PG,SG,G,Flx","177","Slovenia","@MIN Sun 6:00PM","72.35","100","89.8","98%","+97.9%","24","29.9","3.7","8.3",".442","1.3","1.6",".816","0.9","3.5","5.5","1.1","0.3","1.4","9.5"
"*05uiv*","Keon Johnson","(N/A)","PG,SG,G,Flx","96","FA","","72.07","5","291.3","15%","+14.6%","23","26.2","4.2","9.8",".425","1.7","2.3",".731","1.9","4.3","2.7","1.0","0.3","2.0","11.9"
"*06cc7*","Brandin Podziemski","GS","SG,G,SF,F,Flx","118","BOT","","71.91","100","116.7","94%","+93.6%","18","29.8","5.8","12.3",".473","1.2","1.5",".778","2.9","5.8","3.2","1.1","0.1","1.4","15.8"
"*051oi*","Ja Morant","MEM","PG,G,Flx","129","WIN","","71.83","100","37.3","99%","+98.8%","14","33.1","10.7","21.7",".493","5.6","6.9",".813","2.4","4.1","6.9","1.2","0.1","3.3","29.4"
"*06212*","Jabari Smith","HOU","PF,F,Flx","156","GAS","","71.71","100","127.8","93%","+92.8%","20","28.1","4.9","10.6",".464","1.6","2.1",".767","1.8","7.8","1.1","0.7","0.4","1.1","13.3"
"*06211*","Chet Holmgren","OKC","PF,F,C,Flx","200","GAS","","71.58","100","31.5","100%","+99.9%","16","27.9","5.0","10.6",".471","2.9","3.9",".742","1.3","7.4","2.1","0.5","1.6","1.6","14.2"
"*042ne*","Malik Beasley","(N/A)","SG,G,Flx","86","FA","","71.54","23","271.9","29%","+29.3%","23","28.9","5.2","13.2",".396","1.3","1.8",".707","3.7","2.0","1.6","0.7","0.1","1.0","15.3"
"*06mk1*","Zach Edey","MEM","C,Flx","158","booty","","71.34","99","161.4","87%","+87.4%","22","23.3","4.0","6.7",".588","1.5","2.0",".756","0.1","9.5","1.2","0.4","1.5","1.2","9.6"
"*051pb*","Nicolas Claxton","BKN","C,Flx","88","Superswa","@SA Sun 1:00PM","71.29","100","104.3","96%","+96.4%","20","26.9","4.8","7.9",".614","0.9","1.9",".487","0.2","7.0","2.8","0.7","1.3","1.2","10.8"
"*06mk7*","Kelel Ware","MIA","C,Flx","169","BOT","NY Sun 5:00PM","71.25","100","95.3","98%","+97.7%","22","26.6","4.7","8.2",".578","0.7","1.1",".640","0.4","9.5","1.0","0.7","1.4","1.0","10.5"
"*06mln*","Adem Bona","PHI","C,Flx","267","FA","","70.67","87","185.1","57%","+56.6%","18","25.5","5.1","7.2",".705","2.0","2.9",".692","0.0","7.2","0.9","1.0","2.2","1.9","12.1"
"*04ewr*","Kyle Kuzma","MIL","SF,PF,F,Flx","152","FA","@CLE Sun 5:00PM","70.45","99","135.9","84%","+84.2%","24","30.8","5.5","11.5",".476","1.7","2.6",".645","1.6","4.9","2.0","0.5","0.4","2.2","14.2"
"*062dn*","Julian Champagnie","SA","SF,PF,F,Flx","95","FA","BKN Sun 1:00PM","70.37","14","283.9","23%","+23.2%","25","22.6","3.3","8.1",".406","1.3","1.4",".914","2.2","3.9","1.6","0.5","0.3","0.8","10.0"
"*03e6u*","Bogdan Bogdanovic","LAC","SG,G,SF,F,Flx","229","FA","POR Sun 8:00PM","70.26","12","283.4","25%","+24.6%","24","25.0","4.2","8.5",".493","1.0","1.1",".926","2.0","3.5","3.2","0.6","0.2","1.2","11.5"
"*042n7*","Domantas Sabonis","SAC","C,Flx","73","SMAC777","LAL Sun 8:00PM","70.22","100","12.2","100%","+99.9%","15","30.4","6.5","11.4",".567","2.8","3.6",".778","0.5","12.0","5.2","0.9","0.3","2.3","16.3"
"*05qsx*","Obi Toppin","IND","PF,F,C,Flx","115","Universa","@MIN Sun 6:00PM","70.11","93","171.5","74%","+74.2%","25","20.0","4.2","8.0",".523","1.1","1.4",".750","1.8","3.9","1.7","0.4","0.4","1.0","11.2"
"*04qrw*","Kevin Huerter","CHI","SG,G,Flx","172","FA","","69.88","36","259.8","34%","+33.5%","19","32.1","5.5","11.8",".464","0.7","0.9",".765","2.7","3.5","3.4","1.2","0.4","1.2","14.4"
"*051ox*","Nickeil Alexander-Walker","ATL","PG,SG,G,Flx","114","FA","","69.57","36","260.1","42%","+42.3%","22","25.3","3.2","7.6",".417","1.7","2.1",".826","1.5","3.5","3.3","0.8","0.6","1.0","9.5"
"*06cby*","Keyonte George","UTA","PG,G,Flx","102","WIN","","69.46","100","119.8","93%","+93.3%","19","31.2","5.2","13.8",".373","4.1","4.8",".857","2.4","3.9","4.9","0.6","0.0","2.4","16.8"
"*031m4*","Dennis Schroder","SAC","PG,G,Flx","108","Slovenia","LAL Sun 8:00PM","68.91","100","144.1","79%","+78.5%","22","27.1","3.7","9.4",".393","2.9","3.5",".831","1.2","2.9","5.5","0.6","0.2","1.3","11.5"
