"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"*06mju*","Alex Sarr","WAS","PF,F,C,Flx","95","Slovenia","CHA Sun 5:00PM","55.62","100","73.8","99%","+99.3%","2","25.6","5.0","10.0",".500","2.0","3.0",".667","0.0","10.0","4.0","0.5","1.5","2.5","12.0"
"*01eo9*","Jrue Holiday","POR","PG,SG,G,Flx","96","Universa","@LAC Sun 8:00PM","55.17","100","115.9","95%","+94.5%","2","30.5","5.0","13.5",".370","1.5","2.0",".750","1.5","5.5","9.0","2.0","0.0","4.0","13.0"
"*05qtr*","Devin Vassell","SA","SG,G,SF,F,Flx","97","WIN","BKN 11<br/>@SA 5","55.08","100","97.1","97%","+96.8%","3","25.0","5.0","11.7",".429","0.3","1.0",".333","2.7","2.7","1.7","1.0","0.0","1.3","13.0"
"*02ym0*","Andrew Wiggins","MIA","SG,G,SF,F,Flx","98","SMAC777","NY Sun 5:00PM","54.65","100","101.2","95%","+95%","2","27.8","5.0","10.0",".500","3.5","6.0",".583","0.5","5.5","2.0","1.0","1.0","1.5","14.0"
"*051p8*","Jordan Poole","NO","PG,SG,G,Flx","99","Superswa","","54.35","100","70.9","99%","+98.7%","2","36.3","7.0","17.0",".412","2.0","2.0","1.000","3.0","2.0","3.5","0.0","0.5","1.5","19.0"
"*06ccz*","Mouhamed Gueye","ATL","PF,F,Flx","100","FA","","54.03","1","292.2","14%","+14.4%","3","19.3","3.0","6.3",".474","0.7","2.0",".333","1.3","4.7","1.7","0.0","1.3","1.3","8.0"
"*06caa*","Ben Sheppard","IND","SG,G,Flx","101","Benny","@MIN Sun 6:00PM","54","4","291.5","44%","+44.5%","2","31.6","4.5","9.5",".474","1.0","1.0","1.000","2.0","6.5","3.5","1.0","0.5","0.0","12.0"
"*06cbz*","Brice Sensabaugh","UTA","SF,PF,F,Flx","102","Universa","","53.97","78","203.4","59%","+59%","2","22.4","6.5","12.0",".542","1.5","1.5","1.000","3.0","4.0","1.5","1.0","0.0","1.5","17.5"
"*06cc5*","Anthony Black","ORL","PG,SG,G,Flx","103","FA","","53.86","17","278.3","34%","+34.5%","3","24.7","4.0","7.3",".545","2.7","3.7",".727","0.7","3.7","2.0","0.7","0.7","3.0","11.3"
"*06cbx*","Jaime Jaquez","MIA","SG,G,SF,F,Flx","104","GAS","NY Sun 5:00PM","53.83","35","261.4","50%","+50%","2","28.4","7.0","9.5",".737","1.0","1.5",".667","0.0","8.0","3.5","2.0","0.0","2.5","15.0"
